,KRW-BTC,KRW-BTC,KRW-BTC,KRW-BTC,KRW-BTC,KRW-BTC,KRW-ETH,KRW-ETH,KRW-ETH,KRW-ETH,KRW-ETH,KRW-ETH,KRW-ADA,KRW-ADA,KRW-ADA,KRW-ADA,KRW-ADA,KRW-ADA,KRW-XRP,KRW-XRP,KRW-XRP,KRW-XRP,KRW-XRP,KRW-XRP,KRW-DOT,KRW-DOT,KRW-DOT,KRW-DOT,KRW-DOT,KRW-DOT,KRW-BCH,KRW-BCH,KRW-BCH,KRW-BCH,KRW-BCH,KRW-BCH,KRW-ETC,KRW-ETC,KRW-ETC,KRW-ETC,KRW-ETC,KRW-ETC,KRW-EOS,KRW-EOS,KRW-EOS,KRW-EOS,KRW-EOS,KRW-EOS,KRW-TRX,KRW-TRX,KRW-TRX,KRW-TRX,KRW-TRX,KRW-TRX
,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value
2021-07-29 09:00:00,46350000.0,46996000.0,45529000.0,45907000.0,5904.86424006,272164212254.33475,2663000.0,2756000.0,2627000.0,2731000.0,64793.19875393,173108289409.06036,1490.0,1500.0,1455.0,1475.0,21199762.84522406,31303705040.44085,851.0,880.0,806.0,860.0,529790073.34314084,439186809714.25775,16850.0,17670.0,16490.0,17470.0,1548648.03962394,26481290323.28563,593000.0,630000.0,578500.0,617900.0,40369.92509256,24379232764.45355,57030.0,57460.0,55850.0,56720.0,2265345.19260775,127931944744.5858,4540.0,4595.0,4405.0,4550.0,13652580.96813201,61019567855.72785,70.4,71.6,69.1,71.0,190179220.79037914,13381350073.211697
2021-07-30 09:00:00,45936000.0,48661000.0,44450000.0,48555000.0,9277.56945527,426284796838.65125,2731000.0,2846000.0,2676000.0,2836000.0,107441.24594113,296073934526.9484,1475.0,1515.0,1440.0,1510.0,31787113.43423397,47159560239.33932,860.0,886.0,825.0,866.0,439932852.30282223,375641673168.2566,17470.0,18240.0,16720.0,18240.0,1971604.90026686,34473662180.21734,617100.0,640000.0,595000.0,637800.0,75970.37563381,46987096982.90976,56700.0,59590.0,55000.0,58660.0,4688045.82483036,268386543788.90454,4550.0,4700.0,4370.0,4690.0,17272970.6666537,78201496168.90631,71.0,73.1,68.9,72.9,270061984.9619945,19235562610.499245
2021-07-31 09:00:00,48570000.0,48768000.0,47650000.0,47979000.0,5158.44167442,248552503038.62796,2835000.0,2958000.0,2801000.0,2920000.0,71699.00432663,204802728755.01492,1505.0,1545.0,1490.0,1530.0,20894004.03726453,31640301214.29579,866.0,875.0,853.0,863.0,197909304.76408437,171286815250.3964,18230.0,19680.0,17870.0,19390.0,2292446.12954447,42987753682.08108,637800.0,643200.0,622300.0,632600.0,47385.88040053,29976412168.051285,58660.0,60520.0,57510.0,59440.0,3465542.03011353,204483775976.0169,4690.0,4855.0,4600.0,4710.0,23479555.61194526,110839411459.3376,73.0,74.9,71.8,74.0,244063738.78032854,17963426390.89459
2021-08-01 09:00:00,47979000.0,49471000.0,46003000.0,46274000.0,6806.08556397,325989173859.44476,2927000.0,3129000.0,2910000.0,2967000.0,134818.28508365,405572279152.66205,1530.0,1610.0,1510.0,1530.0,37477109.21606386,58745350657.27244,863.0,904.0,830.0,841.0,302721982.2030891,265563488825.89594,19390.0,23500.0,19140.0,21330.0,9699095.18051426,210455309190.30484,632700.0,654000.0,603000.0,610100.0,55061.44617919,35035737452.90508,59440.0,63310.0,57800.0,58300.0,5613022.9365245,341023904727.2221,4710.0,4905.0,4530.0,4575.0,23457342.17879701,111822062336.98596,74.0,77.6,72.9,73.5,367166250.55375355,27830483600.16938
2021-08-02 09:00:00,46263000.0,46788000.0,45150000.0,45451000.0,7121.32542712,327175849671.0313,2966000.0,3086000.0,2890000.0,3023000.0,126683.74788805,379839556675.71814,1525.0,1565.0,1495.0,1520.0,29696401.12353179,45508592453.56885,841.0,895.0,827.0,856.0,300273941.67482316,258920866708.74268,21340.0,21900.0,20360.0,20910.0,3531845.65978229,74749297534.38193,610800.0,658200.0,600500.0,632100.0,95552.0358424,61106526849.15753,58300.0,60680.0,57000.0,59620.0,3737780.84215271,221778035744.72595,4575.0,4810.0,4485.0,4675.0,16706944.2263418,78231234690.43275,73.5,76.0,71.9,75.2,233115408.7326068,17319969608.95028
2021-08-03 09:00:00,45451000.0,46150000.0,44440000.0,44969000.0,7445.82457713,335516584182.57196,3024000.0,3057000.0,2865000.0,2948000.0,111835.25007669,328622597233.4473,1520.0,1675.0,1475.0,1610.0,98816401.72186519,155669447188.17313,856.0,866.0,826.0,838.0,240691124.84373292,202297247157.25107,20910.0,21580.0,19690.0,20440.0,1920224.66894623,39543706148.195366,630500.0,643100.0,611100.0,634300.0,32418.43436746,20329320206.72903,59540.0,60620.0,57040.0,58300.0,2591157.46035947,151427305178.32715,4675.0,4795.0,4530.0,4735.0,13903157.8103841,64910553023.670746,75.1,76.2,73.3,75.4,215852747.44670656,16166465946.830482
2021-08-04 09:00:00,44950000.0,46038000.0,44000000.0,45718000.0,6481.94468452,291363934837.11224,2948000.0,3176000.0,2880000.0,3136000.0,140962.33430504,428410038024.2992,1610.0,1625.0,1545.0,1585.0,47286430.4059262,74646464945.7207,839.0,853.0,815.0,842.0,223530672.9891698,186817539141.6745,20480.0,22610.0,20000.0,22050.0,2373914.31954496,50601226296.93682,632600.0,635800.0,614300.0,628600.0,32119.26590722,20135563225.05282,58300.0,60170.0,56940.0,59370.0,2954682.83449712,173004901958.29416,4735.0,4800.0,4585.0,4740.0,9430972.97519942,44377992551.872986,75.4,78.4,74.7,77.6,209829053.69645664,16066997985.027885
2021-08-05 09:00:00,45718000.0,47650000.0,43841000.0,47139000.0,10399.67917867,473390293840.28876,3135000.0,3280000.0,2970000.0,3260000.0,191151.55864593,602537559242.0311,1590.0,1615.0,1565.0,1600.0,52329861.78166483,83268110552.37784,842.0,854.0,822.0,845.0,201877053.34990466,168968579012.24387,22050.0,22510.0,20950.0,22070.0,1869976.74582666,40905278868.657005,628600.0,635500.0,611900.0,632000.0,37369.16033644,23295460905.91004,59370.0,63200.0,57300.0,60560.0,5644709.79962571,340813617044.3977,4740.0,4865.0,4625.0,4835.0,12638307.76805488,59892951559.67181,77.6,81.9,77.4,80.8,360175205.6391528,28851160299.21582
2021-08-06 09:00:00,47099000.0,49898000.0,46250000.0,49349000.0,9456.96848632,453840993289.6811,3260000.0,3387000.0,3164000.0,3326000.0,132851.50184919,432774499595.59863,1600.0,1640.0,1580.0,1615.0,31689744.89225442,50766777537.35646,845.0,870.0,840.0,861.0,194204383.80676502,165379188845.84985,22090.0,23930.0,21470.0,23480.0,1907380.00300729,43393116452.498405,633200.0,649800.0,624800.0,641000.0,45422.87668304,28876706275.580833,60540.0,61850.0,59520.0,61130.0,3175258.24781115,192098944357.55923,4840.0,5000.0,4770.0,4975.0,12427843.28029299,60489696015.98984,80.9,83.4,80.7,82.8,214761910.8483133,17587716538.6572
2021-08-07 09:00:00,49342000.0,51300000.0,49000000.0,50956000.0,10988.79383695,550505738787.5818,3327000.0,3642000.0,3302000.0,3611000.0,182204.69496649,637889741542.0231,1620.0,1705.0,1605.0,1685.0,55977769.64738376,93228196891.92613,860.0,939.0,853.0,938.0,545169540.7588952,492487339259.1751,23520.0,24890.0,23160.0,23980.0,2025595.60192254,48490265364.982765,641100.0,679500.0,638300.0,670700.0,83154.75912998,55041554073.91202,61130.0,69830.0,60600.0,69490.0,12362526.19911223,821054775520.2253,4970.0,5345.0,4920.0,5255.0,28780884.19212123,149175583982.2172,82.8,88.0,82.8,86.2,368739216.7432767,31625687853.177624
